timestamp_ns,accel_x,accel_y,accel_z
6529320653441,0.0028478205,0.0082407,0.23112583
6529325383232,-0.016865253,0.039105415,0.38054657
6529363221253,-0.20817222,-0.02659893,-0.015743732
6529382140263,0.0010934845,0.03341198,-0.08703041
6529382140263,0.0010934845,0.03341198,-0.08703041
6529386870003,-0.10882688,-0.030778885,-0.058419228
6529391599743,-0.23908901,-0.08958149,-0.026115894
6529410518753,-0.19847374,-0.13872337,-0.075284004
6529410518753,-0.19847374,-0.13872337,-0.075284004
6529415248493,-0.12753013,-0.07954216,-0.006211281
6529434167503,-0.007464811,0.18756104,0.18990374
6529434167503,-0.007464811,0.18756104,0.18990374
6529438897243,-0.0918341,0.16882992,0.10980463
6529467275784,0.36843032,0.17052078,-0.0444746
6529476735263,0.24717122,0.113580704,0.035136223
6529476735263,0.24717122,0.113580704,0.035136223
6529476735263,0.24717122,0.113580704,0.035136223
6529490924534,0.15123509,0.09794235,-0.17287636
6529490924534,0.15123509,0.09794235,-0.17287636
6529495654274,0.2873426,0.16676426,-0.31690073
6529500384013,0.3492229,0.2968645,-0.21689892
6529514573284,0.97745216,0.3425827,-0.15758085
6529514573284,0.97745216,0.3425827,-0.15758085
6529519303024,0.46890235,0.5282316,0.057599545
6529524032763,0.28770882,0.462842,0.0047078133
6529552411305,0.18439168,0.24411488,-0.5610523
6529552411305,0.18439168,0.24411488,-0.5610523
6529557141045,0.0059610605,0.08785057,-0.4199252
6529576060055,-0.46062523,-0.39762402,-0.27078676
6529576060055,-0.46062523,-0.39762402,-0.27078676
6529580789795,-0.5703826,-0.5157976,-0.24844313
6529599708805,-0.6575836,-0.6298065,0.5278764
6529599708805,-0.6575836,-0.6298065,0.5278764
6529604438597,-0.7549021,-0.6582937,0.7333598
6529609168336,-0.80865633,-0.65160656,0.86927795
6529628087347,-0.732298,-0.33458042,0.7697401
6529628087347,-0.732298,-0.33458042,0.7697401
6529632817086,-0.7146586,-0.28449535,0.6729131
6529647006357,-0.1086998,-0.5217047,0.463974
6529647006357,-0.1086998,-0.5217047,0.463974
6529665925368,-0.0108549595,-0.5536175,-0.7357602
6529665925368,-0.0108549595,-0.5536175,-0.7357602
6529680114638,-0.23695159,-1.0766621,-1.6003542
6529713222920,-0.8237326,-1.1273541,-1.662955
6529736871722,-1.1097169,-0.611866,-1.1684601
6529736871722,-1.1097169,-0.611866,-1.1684601
6529741601461,-1.0907664,-0.50382614,-0.47569513
6529760520472,0.7264918,-0.4759121,1.4514756
6529760520472,0.7264918,-0.4759121,1.4514756
6529765250263,0.9468281,-0.16665554,1.3250289
6529784169274,0.4778366,0.20526028,-0.0711689
6529784169274,0.4778366,0.20526028,-0.0711689
6529788899013,0.4536209,0.20165539,0.14276552
6529812547816,-1.2933333,-0.30631208,0.38561964
6529817277555,-1.1345255,-0.27386808,0.8075571
6529822007295,-0.7832296,-0.23464775,1.2096109
6529826737086,-0.3173709,-0.15045643,1.5643468
6529850385888,1.044162,0.070308685,1.8311877
6529855115628,1.3422546,0.0056734085,1.6843309
6529874034638,0.89692545,-0.5187454,0.48018026
6529874034638,0.89692545,-0.5187454,0.48018026
6529878764430,0.5934088,-0.47642946,0.27752733
6529883494170,0.10282874,-0.47233582,-0.17435884
6529902413180,-0.4556198,-0.5166273,-1.4689653
6529902413180,-0.4556198,-0.5166273,-1.4689653
6529907142972,-0.46636057,-0.17923737,-2.0722222
6529935521513,0.19591999,0.36439037,-2.2501366
6529935521513,0.19591999,0.36439037,-2.2501366
6529940251253,0.17373013,0.5938673,-2.5894775
6529973359586,0.55145025,-0.5254059,-0.72628355
6529973359586,0.55145025,-0.5254059,-0.72628355
6529978089326,0.33512807,-0.38210678,-0.6500666
6529982819118,-0.06441474,-0.4389944,-0.32561898
6530006467920,-1.6583343,-0.92490864,1.5493357
6530030116722,-0.13737416,-0.599,0.4241264
6530030116722,-0.13737416,-0.599,0.4241264
6530034846461,0.6264806,-0.9089074,0.8640623
6530044305993,0.9794917,-1.2656355,1.0027525
6530049035732,1.0019662,-1.3183279,0.66489863
6530053765472,1.6186563,-1.8847818,0.18331456
6530067954795,1.448877,-1.4388304,0.9412401
6530072684534,0.9648645,-0.9843216,0.9918761
6530077414326,0.38714862,-0.79675865,0.8512454
6530096333336,-1.1579792,-0.9223747,-0.05573225
6530101063128,-1.2848642,-0.78421307,-0.23806643
6530119982138,-1.5168469,-0.79705524,-0.042943478
6530119982138,-1.5168469,-0.79705524,-0.042943478
6530124711930,-1.3588874,-0.89834833,0.3476572
6530143630941,-0.31355166,-0.8193121,0.055327177
6530148360732,-0.037799597,-0.98972034,-0.09183049
6530153090472,0.24174142,-0.47996616,2.3570046
6530172009534,2.1322303,0.5849314,0.28345954
6530190928597,1.7101984,0.48298264,-0.86234367
6530190928597,1.7101984,0.48298264,-0.86234367
6530195658336,1.4739377,0.81386566,-1.0209101
6530200388128,1.59422,1.0735445,-1.2595644
6530214577399,2.3227503,1.1828642,-1.538333
6530214577399,2.3227503,1.1828642,-1.538333
6530219307138,2.4793913,1.2150068,-1.3216019
6530233496461,2.3136973,1.9087992,-0.459616
6530233496461,2.3136973,1.9087992,-0.459616
6530238226201,1.9898901,2.0853863,-0.31014538
6530242955993,1.4964933,2.3120003,-0.24332839
6530261875055,-0.36015844,3.8415499,8.812547E-4
6530261875055,-0.36015844,3.8415499,8.812547E-4
6530266604795,-0.5504515,4.277691,-0.20791024
6530285523857,-0.58402276,5.6696424,-1.9641368
6530285523857,-0.58402276,5.6696424,-1.9641368
